,comp1,comp2,w
289,2016.comp.21,2016.comp.21,25
290,2016.comp.21,2016.comp.66,2
291,2016.comp.21,2016.comp.600707,1
292,2016.comp.21,2016.comp.731,1
293,2016.comp.21,2016.comp.733,1
294,2016.comp.21,2016.comp.2008,2
295,2016.comp.21,2016.comp.2138,1
296,2016.comp.21,2016.comp.600536,1
297,2016.comp.2745,2016.comp.2745,17
298,2016.comp.2745,2016.comp.603508,1
299,2016.comp.66,2016.comp.21,2
300,2016.comp.66,2016.comp.66,25
301,2016.comp.66,2016.comp.733,2
302,2016.comp.66,2016.comp.600536,2
303,2016.comp.66,2016.comp.600764,2
304,2017.comp.21,2017.comp.21,21
305,2017.comp.21,2017.comp.2855,1
306,2017.comp.21,2017.comp.600707,1
307,2017.comp.21,2017.comp.733,1
308,2017.comp.21,2017.comp.2008,1
309,2017.comp.21,2017.comp.2138,1
310,2017.comp.66,2017.comp.66,23
311,2017.comp.66,2017.comp.600536,1
312,2017.comp.2855,2017.comp.21,1
313,2017.comp.2855,2017.comp.2855,13
314,2018.comp.21,2018.comp.21,20
315,2018.comp.21,2018.comp.2855,1
316,2018.comp.21,2018.comp.32,1
317,2018.comp.21,2018.comp.2008,1
318,2018.comp.21,2018.comp.2138,1
319,2018.comp.66,2018.comp.66,22
320,2018.comp.66,2018.comp.600536,1
321,2018.comp.2855,2018.comp.21,1
322,2018.comp.2855,2018.comp.2855,13
323,2019.comp.21,2019.comp.21,21
324,2019.comp.21,2019.comp.2855,1
325,2019.comp.21,2019.comp.32,1
326,2019.comp.21,2019.comp.2008,1
327,2019.comp.21,2019.comp.2138,1
328,2019.comp.21,2019.comp.2167,1
329,2019.comp.66,2019.comp.66,25
330,2019.comp.66,2019.comp.600536,2
331,2019.comp.66,2019.comp.982,1
332,2019.comp.66,2019.comp.666,1
333,2019.comp.2855,2019.comp.21,1
334,2019.comp.2855,2019.comp.2855,14
335,2020.comp.21,2020.comp.21,22
336,2020.comp.21,2020.comp.66,1
337,2020.comp.21,2020.comp.2855,1
338,2020.comp.21,2020.comp.2008,1
339,2020.comp.21,2020.comp.2138,1
340,2020.comp.66,2020.comp.21,1
341,2020.comp.66,2020.comp.66,29
342,2020.comp.66,2020.comp.600536,3
343,2020.comp.66,2020.comp.666,1
344,2020.comp.2855,2020.comp.21,1
345,2020.comp.2855,2020.comp.2855,17
346,2003.comp.22,2003.comp.22,17
347,2003.comp.22,2003.comp.200053,3
348,2003.comp.22,2003.comp.42,1
349,2003.comp.200053,2003.comp.22,3
350,2003.comp.200053,2003.comp.200053,19
351,2003.comp.200053,2003.comp.88,1
352,2003.comp.200053,2003.comp.89,1
353,2004.comp.22,2004.comp.22,16
354,2004.comp.22,2004.comp.200053,3
355,2004.comp.22,2004.comp.42,1
356,2004.comp.200053,2004.comp.22,3
357,2004.comp.200053,2004.comp.200053,20
358,2005.comp.22,2005.comp.22,15
359,2005.comp.22,2005.comp.200053,3
360,2005.comp.22,2005.comp.42,1
361,2005.comp.200053,2005.comp.22,3
362,2005.comp.200053,2005.comp.200053,21
363,2006.comp.22,2006.comp.22,16
364,2006.comp.22,2006.comp.200053,3
365,2006.comp.22,2006.comp.42,1
366,2006.comp.200053,2006.comp.22,3
367,2006.comp.200053,2006.comp.200053,20
368,2007.comp.22,2007.comp.22,16
369,2007.comp.22,2007.comp.200053,5
370,2007.comp.200053,2007.comp.22,5
371,2007.comp.200053,2007.comp.200053,19
372,2008.comp.22,2008.comp.22,16
373,2008.comp.22,2008.comp.200053,5
374,2008.comp.200053,2008.comp.22,5
375,2008.comp.200053,2008.comp.200053,19
376,2008.comp.200053,2008.comp.37,1
377,2009.comp.22,2009.comp.22,16
378,2009.comp.22,2009.comp.200053,5
379,2009.comp.200053,2009.comp.22,5
380,2009.comp.200053,2009.comp.200053,19
381,2009.comp.200053,2009.comp.37,1
382,2009.comp.200053,2009.comp.600270,1
383,2010.comp.22,2010.comp.22,16
384,2010.comp.22,2010.comp.200053,3
385,2010.comp.200053,2010.comp.22,3
386,2010.comp.200053,2010.comp.200053,21
387,2010.comp.200053,2010.comp.37,1
388,2011.comp.22,2011.comp.12,1
389,2011.comp.22,2011.comp.22,21
390,2011.comp.22,2011.comp.200053,4
391,2011.comp.200053,2011.comp.22,4
392,2011.comp.200053,2011.comp.200053,20
393,2011.comp.200053,2011.comp.2123,1
394,2012.comp.22,2012.comp.22,27
395,2012.comp.22,2012.comp.2314,1
396,2012.comp.22,2012.comp.200053,3
397,2012.comp.2314,2012.comp.22,1
398,2012.comp.2314,2012.comp.2314,16
399,2012.comp.2314,2012.comp.200053,2
400,2012.comp.200053,2012.comp.22,3
401,2012.comp.200053,2012.comp.2314,2
402,2012.comp.200053,2012.comp.200053,21
403,2012.comp.200053,2012.comp.2123,1
404,2013.comp.22,2013.comp.22,26
405,2013.comp.22,2013.comp.200053,4
406,2013.comp.22,2013.comp.2314,1
407,2013.comp.22,2013.comp.600018,1
408,2013.comp.200053,2013.comp.22,4
409,2013.comp.200053,2013.comp.200053,29
410,2013.comp.200053,2013.comp.2123,1
411,2013.comp.200053,2013.comp.2314,2
412,2013.comp.200053,2013.comp.600335,1
413,2014.comp.22,2014.comp.22,25
414,2014.comp.22,2014.comp.200053,1
415,2014.comp.22,2014.comp.999,1
416,2014.comp.22,2014.comp.2314,1
417,2014.comp.22,2014.comp.600018,2
418,2014.comp.200053,2014.comp.22,1
419,2014.comp.200053,2014.comp.200053,22
420,2014.comp.200053,2014.comp.2314,2
421,2014.comp.200053,2014.comp.600335,1
422,2015.comp.22,2015.comp.22,26
423,2015.comp.22,2015.comp.200053,1
424,2015.comp.22,2015.comp.999,1
425,2015.comp.22,2015.comp.2314,1
426,2015.comp.22,2015.comp.600018,2
427,2015.comp.22,2015.comp.39,1
428,2015.comp.200053,2015.comp.22,1
429,2015.comp.200053,2015.comp.200053,23
430,2015.comp.200053,2015.comp.2314,3
431,2016.comp.22,2016.comp.22,20
432,2016.comp.22,2016.comp.200053,1
433,2016.comp.22,2016.comp.999,1
434,2016.comp.22,2016.comp.600018,1
435,2016.comp.22,2016.comp.2314,1
436,2016.comp.22,2016.comp.39,1
437,2016.comp.200053,2016.comp.22,1
438,2016.comp.200053,2016.comp.200053,25
439,2016.comp.200053,2016.comp.2314,4
440,2017.comp.22,2017.comp.22,25
441,2017.comp.22,2017.comp.200053,1
442,2017.comp.22,2017.comp.39,1
443,2017.comp.22,2017.comp.999,1
444,2017.comp.22,2017.comp.2314,1
445,2017.comp.22,2017.comp.600018,2
446,2017.comp.22,2017.comp.601880,1
447,2017.comp.200053,2017.comp.22,1
448,2017.comp.200053,2017.comp.200053,21
449,2017.comp.200053,2017.comp.2314,5
450,2008.comp.23,2008.comp.23,18
451,2008.comp.23,2008.comp.19,1
452,2012.comp.23,2012.comp.23,20
453,2013.comp.23,2013.comp.23,22
454,2015.comp.23,2015.comp.2736,1
455,2015.comp.23,2015.comp.19,1
456,2015.comp.23,2015.comp.23,22
457,2012.comp.24,2012.comp.24,24
458,2012.comp.24,2012.comp.31,1
459,2012.comp.24,2012.comp.600239,1
460,2012.comp.24,2012.comp.601872,3
461,2012.comp.24,2012.comp.39,1
462,2012.comp.600036,2012.comp.601318,1
463,2012.comp.600036,2012.comp.600036,40
464,2012.comp.600036,2012.comp.600028,1
465,2012.comp.600036,2012.comp.600507,1
466,2012.comp.600036,2012.comp.600560,1
467,2012.comp.600036,2012.comp.600784,1
468,2012.comp.600036,2012.comp.600026,1
469,2012.comp.600036,2012.comp.600896,2
470,2012.comp.600036,2012.comp.601866,2
471,2012.comp.600036,2012.comp.601800,1
472,2012.comp.600036,2012.comp.600104,1
473,2012.comp.600036,2012.comp.600741,1
474,2012.comp.600036,2012.comp.600999,3
475,2012.comp.600036,2012.comp.601872,1
