0,1,2
2015.comp.21,same.manager,2015.comp.66
2015.comp.21,same.manager,2015.comp.600536
2015.comp.21,same.manager,2015.comp.21
2016.comp.21,same.manager,2016.comp.2138
2016.comp.21,same.manager,2016.comp.733
2016.comp.21,same.manager,2016.comp.600536
2016.comp.21,same.manager,2016.comp.600707
2016.comp.21,same.manager,2016.comp.66
2016.comp.21,same.manager,2016.comp.2008
2016.comp.21,same.manager,2016.comp.731
2016.comp.21,same.manager,2016.comp.21
2017.comp.21,same.manager,2017.comp.2855
2017.comp.21,same.manager,2017.comp.733
2017.comp.21,same.manager,2017.comp.600707
2017.comp.21,same.manager,2017.comp.2138
2017.comp.21,same.manager,2017.comp.2008
2017.comp.21,same.manager,2017.comp.21
2018.comp.21,same.manager,2018.comp.32
2018.comp.21,same.manager,2018.comp.2855
2018.comp.21,same.manager,2018.comp.2138
2018.comp.21,same.manager,2018.comp.2008
2018.comp.21,same.manager,2018.comp.21
2019.comp.21,same.manager,2019.comp.2167
2019.comp.21,same.manager,2019.comp.2138
2019.comp.21,same.manager,2019.comp.2008
2019.comp.21,same.manager,2019.comp.2855
2019.comp.21,same.manager,2019.comp.32
2019.comp.21,same.manager,2019.comp.21
2020.comp.21,same.manager,2020.comp.66
2020.comp.21,same.manager,2020.comp.2138
2020.comp.21,same.manager,2020.comp.2008
2020.comp.21,same.manager,2020.comp.2855
2020.comp.21,same.manager,2020.comp.21
2003.comp.22,same.manager,2003.comp.42
2003.comp.22,same.manager,2003.comp.200053
2003.comp.22,same.manager,2003.comp.22
2004.comp.22,same.manager,2004.comp.42
2004.comp.22,same.manager,2004.comp.200053
2004.comp.22,same.manager,2004.comp.22
2005.comp.22,same.manager,2005.comp.42
2005.comp.22,same.manager,2005.comp.200053
2005.comp.22,same.manager,2005.comp.22
2006.comp.22,same.manager,2006.comp.42
2006.comp.22,same.manager,2006.comp.200053
2006.comp.22,same.manager,2006.comp.22
2007.comp.22,same.manager,2007.comp.200053
2007.comp.22,same.manager,2007.comp.22
2008.comp.22,same.manager,2008.comp.200053
2008.comp.22,same.manager,2008.comp.22
2009.comp.22,same.manager,2009.comp.200053
2009.comp.22,same.manager,2009.comp.22
2010.comp.22,same.manager,2010.comp.200053
2010.comp.22,same.manager,2010.comp.22
2011.comp.22,same.manager,2011.comp.200053
2011.comp.22,same.manager,2011.comp.22
2012.comp.22,same.manager,2012.comp.2314
2012.comp.22,same.manager,2012.comp.200053
2012.comp.22,same.manager,2012.comp.22
2013.comp.22,same.manager,2013.comp.600018
2013.comp.22,same.manager,2013.comp.2314
2013.comp.22,same.manager,2013.comp.200053
2013.comp.22,same.manager,2013.comp.22
2014.comp.22,same.manager,2014.comp.999
2014.comp.22,same.manager,2014.comp.600018
2014.comp.22,same.manager,2014.comp.200053
2014.comp.22,same.manager,2014.comp.2314
2014.comp.22,same.manager,2014.comp.22
2015.comp.22,same.manager,2015.comp.200053
2015.comp.22,same.manager,2015.comp.2314
2015.comp.22,same.manager,2015.comp.999
2015.comp.22,same.manager,2015.comp.39
2015.comp.22,same.manager,2015.comp.600018
2015.comp.22,same.manager,2015.comp.22
2016.comp.22,same.manager,2016.comp.600018
2016.comp.22,same.manager,2016.comp.39
2016.comp.22,same.manager,2016.comp.999
2016.comp.22,same.manager,2016.comp.200053
2016.comp.22,same.manager,2016.comp.2314
2016.comp.22,same.manager,2016.comp.22
2017.comp.22,same.manager,2017.comp.39
2017.comp.22,same.manager,2017.comp.601880
2017.comp.22,same.manager,2017.comp.600018
2017.comp.22,same.manager,2017.comp.200053
2017.comp.22,same.manager,2017.comp.2314
2017.comp.22,same.manager,2017.comp.999
2017.comp.22,same.manager,2017.comp.22
2008.comp.23,same.manager,2008.comp.23
2012.comp.23,same.manager,2012.comp.23
2013.comp.23,same.manager,2013.comp.23
2015.comp.23,same.manager,2015.comp.2736
2015.comp.23,same.manager,2015.comp.23
2012.comp.24,same.manager,2012.comp.600239
2012.comp.24,same.manager,2012.comp.39
2012.comp.24,same.manager,2012.comp.31
2012.comp.24,same.manager,2012.comp.601872
2012.comp.24,same.manager,2012.comp.24
2013.comp.24,same.manager,2013.comp.600266
2013.comp.24,same.manager,2013.comp.601872
2013.comp.24,same.manager,2013.comp.600239
2013.comp.24,same.manager,2013.comp.24
2014.comp.24,same.manager,2014.comp.600999
2014.comp.24,same.manager,2014.comp.600036
2014.comp.24,same.manager,2014.comp.600685
2014.comp.24,same.manager,2014.comp.601872
2014.comp.24,same.manager,2014.comp.2129
2014.comp.24,same.manager,2014.comp.24
2020.comp.25,same.manager,2020.comp.300319
2020.comp.25,same.manager,2020.comp.25
2005.comp.26,same.manager,2005.comp.43
2005.comp.26,same.manager,2005.comp.26
2006.comp.26,same.manager,2006.comp.43
2006.comp.26,same.manager,2006.comp.26
2007.comp.26,same.manager,2007.comp.43
2007.comp.26,same.manager,2007.comp.26
2008.comp.26,same.manager,2008.comp.50
2008.comp.26,same.manager,2008.comp.43
2008.comp.26,same.manager,2008.comp.26
