0,1,2
2016.comp.45,relatedTransaction,2016.comp.50
2017.comp.45,relatedTransaction,2017.comp.50
2018.comp.45,relatedTransaction,2018.comp.50
2019.comp.45,relatedTransaction,2019.comp.50
2020.comp.45,relatedTransaction,2020.comp.50
2012.comp.46,relatedTransaction,2012.comp.416
2012.comp.46,relatedTransaction,2012.comp.600016
2013.comp.46,relatedTransaction,2013.comp.600016
2013.comp.46,relatedTransaction,2013.comp.416
2014.comp.46,relatedTransaction,2014.comp.600016
2015.comp.46,relatedTransaction,2015.comp.416
2015.comp.46,relatedTransaction,2015.comp.46
2016.comp.46,relatedTransaction,2016.comp.416
2016.comp.46,relatedTransaction,2016.comp.600016
2017.comp.46,relatedTransaction,2017.comp.600016
2017.comp.46,relatedTransaction,2017.comp.416
2018.comp.46,relatedTransaction,2018.comp.416
2018.comp.46,relatedTransaction,2018.comp.600016
2019.comp.46,relatedTransaction,2019.comp.600016
2019.comp.46,relatedTransaction,2019.comp.416
2020.comp.46,relatedTransaction,2020.comp.600016
2020.comp.46,relatedTransaction,2020.comp.416
2021.comp.46,relatedTransaction,2021.comp.600016
1999.comp.48,relatedTransaction,1999.comp.600842
2000.comp.48,relatedTransaction,2000.comp.7
2000.comp.48,relatedTransaction,2000.comp.35
2000.comp.48,relatedTransaction,2000.comp.600842
2001.comp.48,relatedTransaction,2001.comp.600842
2002.comp.48,relatedTransaction,2002.comp.600842
2003.comp.48,relatedTransaction,2003.comp.600842
2004.comp.48,relatedTransaction,2004.comp.600842
2005.comp.48,relatedTransaction,2005.comp.600842
2006.comp.48,relatedTransaction,2006.comp.600842
2008.comp.48,relatedTransaction,2008.comp.600842
2005.comp.48,relatedTransaction,2005.comp.600849
2015.comp.49,relatedTransaction,2015.comp.2920
2016.comp.49,relatedTransaction,2016.comp.2920
2017.comp.49,relatedTransaction,2017.comp.2920
2018.comp.49,relatedTransaction,2018.comp.2920
2019.comp.49,relatedTransaction,2019.comp.2920
2012.comp.50,relatedTransaction,2012.comp.26
2015.comp.50,relatedTransaction,2015.comp.26
2015.comp.50,relatedTransaction,2015.comp.50
2016.comp.50,relatedTransaction,2016.comp.600973
2017.comp.50,relatedTransaction,2017.comp.600973
2017.comp.50,relatedTransaction,2017.comp.2419
2018.comp.50,relatedTransaction,2018.comp.600973
2018.comp.50,relatedTransaction,2018.comp.2419
2019.comp.50,relatedTransaction,2019.comp.600973
2019.comp.50,relatedTransaction,2019.comp.2419
2020.comp.50,relatedTransaction,2020.comp.2916
2020.comp.50,relatedTransaction,2020.comp.600973
2020.comp.50,relatedTransaction,2020.comp.2419
1997.comp.55,relatedTransaction,1997.comp.55
1997.comp.58,relatedTransaction,1997.comp.7
1998.comp.58,relatedTransaction,1998.comp.68
1998.comp.58,relatedTransaction,1998.comp.7
1999.comp.58,relatedTransaction,1999.comp.68
1999.comp.58,relatedTransaction,1999.comp.7
2000.comp.58,relatedTransaction,2000.comp.68
2000.comp.58,relatedTransaction,2000.comp.7
2001.comp.58,relatedTransaction,2001.comp.68
2001.comp.58,relatedTransaction,2001.comp.7
2002.comp.58,relatedTransaction,2002.comp.68
2003.comp.58,relatedTransaction,2003.comp.68
2004.comp.58,relatedTransaction,2004.comp.68
2005.comp.58,relatedTransaction,2005.comp.68
2006.comp.58,relatedTransaction,2006.comp.68
2007.comp.58,relatedTransaction,2007.comp.68
2008.comp.58,relatedTransaction,2008.comp.68
1997.comp.59,relatedTransaction,1997.comp.59
2016.comp.59,relatedTransaction,2016.comp.59
2019.comp.59,relatedTransaction,2019.comp.600495
2018.comp.60,relatedTransaction,2018.comp.2672
2019.comp.60,relatedTransaction,2019.comp.2672
2020.comp.60,relatedTransaction,2020.comp.2672
2021.comp.60,relatedTransaction,2021.comp.2449
2005.comp.61,relatedTransaction,2005.comp.19
2007.comp.61,relatedTransaction,2007.comp.19
2008.comp.61,relatedTransaction,2008.comp.19
2014.comp.61,relatedTransaction,2014.comp.19
2019.comp.61,relatedTransaction,2019.comp.417
2020.comp.61,relatedTransaction,2020.comp.19
2019.comp.62,relatedTransaction,2019.comp.300136
2019.comp.62,relatedTransaction,2019.comp.2414
2020.comp.62,relatedTransaction,2020.comp.2414
2020.comp.62,relatedTransaction,2020.comp.300136
2009.comp.63,relatedTransaction,2009.comp.300077
2010.comp.63,relatedTransaction,2010.comp.300077
2011.comp.63,relatedTransaction,2011.comp.300077
2011.comp.63,relatedTransaction,2011.comp.300303
2016.comp.63,relatedTransaction,2016.comp.300099
2016.comp.63,relatedTransaction,2016.comp.538
2016.comp.63,relatedTransaction,2016.comp.300188
2016.comp.63,relatedTransaction,2016.comp.50
2017.comp.63,relatedTransaction,2017.comp.50
2018.comp.63,relatedTransaction,2018.comp.688063
2019.comp.63,relatedTransaction,2019.comp.688063
2020.comp.63,relatedTransaction,2020.comp.63
2020.comp.63,relatedTransaction,2020.comp.688063
2016.comp.65,relatedTransaction,2016.comp.600967
2016.comp.65,relatedTransaction,2016.comp.600262
2016.comp.65,relatedTransaction,2016.comp.2246
2017.comp.65,relatedTransaction,2017.comp.600262
2017.comp.65,relatedTransaction,2017.comp.2246
2018.comp.65,relatedTransaction,2018.comp.600262
2018.comp.65,relatedTransaction,2018.comp.600967
2018.comp.65,relatedTransaction,2018.comp.2246
2019.comp.65,relatedTransaction,2019.comp.600262
2019.comp.65,relatedTransaction,2019.comp.2246
2020.comp.65,relatedTransaction,2020.comp.600262
2020.comp.65,relatedTransaction,2020.comp.2246
1999.comp.66,relatedTransaction,1999.comp.748
2000.comp.66,relatedTransaction,2000.comp.748
2001.comp.66,relatedTransaction,2001.comp.748
2001.comp.66,relatedTransaction,2001.comp.21
2002.comp.66,relatedTransaction,2002.comp.748
2003.comp.66,relatedTransaction,2003.comp.748
2006.comp.66,relatedTransaction,2006.comp.600057
2007.comp.66,relatedTransaction,2007.comp.748
2007.comp.66,relatedTransaction,2007.comp.600057
2008.comp.66,relatedTransaction,2008.comp.600057
2008.comp.66,relatedTransaction,2008.comp.21
2009.comp.66,relatedTransaction,2009.comp.600536
2009.comp.66,relatedTransaction,2009.comp.21
2009.comp.66,relatedTransaction,2009.comp.748
2010.comp.66,relatedTransaction,2010.comp.748
2010.comp.66,relatedTransaction,2010.comp.600536
2010.comp.66,relatedTransaction,2010.comp.21
2011.comp.66,relatedTransaction,2011.comp.748
2011.comp.66,relatedTransaction,2011.comp.600536
2011.comp.66,relatedTransaction,2011.comp.21
2012.comp.66,relatedTransaction,2012.comp.21
2013.comp.66,relatedTransaction,2013.comp.21
2014.comp.66,relatedTransaction,2014.comp.21
2015.comp.66,relatedTransaction,2015.comp.32
2015.comp.66,relatedTransaction,2015.comp.21
2016.comp.66,relatedTransaction,2016.comp.748
