index,0
417,2013.comp.46
418,2013.comp.600016
419,2013.comp.416
420,2014.comp.46
421,2014.comp.600016
422,2015.comp.46
423,2015.comp.416
424,2016.comp.46
425,2016.comp.416
426,2017.comp.46
427,2017.comp.416
428,2018.comp.46
429,2018.comp.416
430,2019.comp.46
431,2019.comp.416
432,2020.comp.46
433,2020.comp.416
434,2003.comp.48
435,2003.comp.600842
436,2004.comp.48
437,2004.comp.600842
438,2005.comp.48
439,2005.comp.600842
440,2006.comp.48
441,2006.comp.600842
442,2008.comp.48
443,2008.comp.600842
444,2005.comp.600849
445,2017.comp.49
446,2017.comp.2920
447,2018.comp.49
448,2018.comp.2920
449,2019.comp.49
450,2016.comp.600973
451,2017.comp.600973
452,2018.comp.600973
453,2019.comp.600973
454,2020.comp.600973
455,2005.comp.58
456,2005.comp.68
457,2006.comp.58
458,2006.comp.68
459,2007.comp.58
460,2007.comp.68
461,2008.comp.58
462,2008.comp.68
463,2016.comp.59
464,2019.comp.59
465,2019.comp.600495
466,2018.comp.60
467,2018.comp.2672
468,2019.comp.60
469,2019.comp.2672
470,2020.comp.60
471,2020.comp.2672
472,2008.comp.61
473,2008.comp.19
474,2019.comp.417
475,2019.comp.62
476,2019.comp.300136
477,2019.comp.2414
478,2020.comp.62
479,2020.comp.2414
480,2020.comp.300136
481,2010.comp.63
482,2010.comp.300077
483,2011.comp.63
484,2011.comp.300077
485,2016.comp.63
486,2016.comp.300099
487,2016.comp.538
488,2016.comp.300188
489,2017.comp.63
490,2020.comp.63
491,2020.comp.688063
492,2016.comp.65
493,2016.comp.600967
494,2016.comp.600262
495,2016.comp.2246
496,2017.comp.65
497,2017.comp.600262
498,2017.comp.2246
499,2018.comp.65
500,2018.comp.600262
501,2018.comp.600967
502,2018.comp.2246
503,2019.comp.65
504,2019.comp.600262
505,2019.comp.2246
506,2020.comp.65
507,2020.comp.600262
508,2020.comp.2246
509,2003.comp.66
510,2003.comp.748
511,2006.comp.66
512,2006.comp.600057
